text,candidate,source,channel
Mina kharel jyu 🙏🙏🇳🇵🇳🇵❤️❤️😭😭,mina kharel,yt:Mina Kharel,comment
जय नेपाल 🌳🌳🌳🌳,mina kharel,yt:Mina Kharel,comment
देश लाई नभई नहुने नेतृत्व मिना खरेल ❤,mina kharel,yt:Mina Kharel,comment
म मतदाता हैन तर ऊहाँलाई सुन्दा बुझ्दा   रविले ल्याऊने भनेको सुनामिको छाल शायद रोकिएला ...रोकिएन भनेपनि धेरै ठुलो क्षति गर्दैन यति बुझियो लौ....मिना दिदिलाई शुभकामना।,mina kharel,yt:Mina Kharel,comment
जय नेपाल दिदी,mina kharel,yt:Mina Kharel,comment
"हाेनहार समाजसेवी दिदी ❤❤❤,जय नेपाल ।",mina kharel,yt:Mina Kharel,comment
"आधा मात्रै सुनेर कमेन्ट गरेको हो, रविजस्तो बहुरूपीयालाई भोट हाल्नुभन्दा यी दिदीलाई भोट दिए चितवनका जनताले सुख पाउँछन्, म चितवनमा भइदिएको भए ५० जनासँग हात जोडेर भएपनि दश पन्ध्र भोट चाहिँ यी दिदीको लागि पक्कै जुटाउथे, यीनमा कुनै स्वार्थ देखिदैन... मात्र त्याग!!",mina kharel,yt:Mina Kharel,comment
Good luck dd,mina kharel,yt:Mina Kharel,comment
All the best,mina kharel,yt:Mina Kharel,comment
"Mahan Nari hunuhudorahechha, Maile paile rabiko barema socheko thiya tara waha jasto byektilai vote nadiye paap lagchha.",mina kharel,yt:Mina Kharel,comment
Wow दिदी हजुरको कुराले मन छोयो जितको सुभकामना दिदि🙏,mina kharel,yt:Mina Kharel,comment
जय घन्टी जय रबी 🔔🔔🔔🔔🔔🔔🔔🔔🔔👍️👍️👍️👍️👍️👍️👍️👍️👍️👍️,mina kharel,yt:Mina Kharel,comment
Congratulations 🎊 👏 MINA JI,mina kharel,yt:Mina Kharel,comment
Didi good,mina kharel,yt:Mina Kharel,comment
🌲🌲🌲🌲🌲🌲🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳🌳Jay Nepal,mina kharel,yt:Mina Kharel,comment
सोद्धै नसोधी 🙏धेरै कुरा बुझ्न पाए धन्यवाद राजेन्द्र दाइ 🙏🙏,mina kharel,yt:Mina Kharel,comment
"दिदीले  समाज का लागि गरेको योगदान  प्रेरणादायी छ त्यस्का  लागि नमन  र शुभकामना ।
तर यो समय देशसेवा लागि हो पुस्तान्तरन को हो परिवर्तनको लागि हो।  स्थिर सरकार को लागि हो त्यस्का लागि घण्टी बजौउन जरुरी छ चाहे त्यो चितवन् होस या देश भारी यो समय घण्टीको हो ।",mina kharel,yt:Mina Kharel,comment
"Hats off for your incredible works. Best wishes, respected Didi.",mina kharel,yt:Mina Kharel,comment
Wow diii Rajendra ji tapaile yo karyakm yak CHOTI hajur le panihernush na hai .....,mina kharel,yt:Mina Kharel,comment
Best wishes.,mina kharel,yt:Mina Kharel,comment
मान्छे चाहिँ नयाँ पार्टि रास्वपाबाट उठ्नुपर्ने व्यक्ति रैछ।अब चुनाव पछि रास्वपामा जेाडिनु हेाला।प्रदेश अनि स्थानिय निकाएमा भनेपनि लडेर जनताकेा सेवा गर्नुपर्छ तपाईले।हिजेा तपाईलाई कसैले चिनेकेा थिएन।अब रवि लामिछानेसग लडिरहदा राजेन्द्र बानिया सरले सबैमाझ चिनाउने अवसर दिनुभयेा।अब तपाईलाई जनताले राम्रेासग चिन्ने अवसर पाए।Go ahead Madam,mina kharel,yt:Mina Kharel,comment
Jay.ghanti,mina kharel,yt:Mina Kharel,comment
"बाल बालिका,महिलाकाे बारेमा धेरै काम गर्नु भाकाे छ।नगरेकाे चाहिँ सहकारि ठगेकाे छैन।❤❤❤❤❤❤",mina kharel,yt:Mina Kharel,comment
Manxe ta ramro man patinai  khara no bhot jay ghanti jay chitwan,mina kharel,yt:Mina Kharel,comment
Heart touching,mina kharel,yt:Mina Kharel,comment
जित हुनु पर्छ ❤❤❤❤🎉🎉🎉,mina kharel,yt:Mina Kharel,comment
❤❤❤❤,mina kharel,yt:Mina Kharel,comment
Wah sir you also..,mina kharel,yt:Mina Kharel,comment
सुभकाममा 🌳😊,mina kharel,yt:Mina Kharel,comment
"I saw you for the first time on YouTube. If you get 5 thousands Votes, that is too many votes for you.",mina kharel,yt:Mina Kharel,comment
Please vote for  Tree and make Meena didi  win 🙏🙏She deserves victory 🎊,mina kharel,yt:Mina Kharel,comment
राजेन्द्र सरलाइ धन्यबाद मिना दिदिलाइ विजयको शुभकामना,mina kharel,yt:Mina Kharel,comment
रुखलाई जरै देखि ओखलेर फालने हो ।जय घन्टी जय नेपाल,mina kharel,yt:Mina Kharel,comment
Mina dd 🌳,mina kharel,yt:Mina Kharel,comment
❤🎉,mina kharel,yt:Mina Kharel,comment
Jay ghanti🔔,mina kharel,yt:Mina Kharel,comment
चितवनले दुई दिदी लाई सांसद मा पुर्याउनु पर्ने देखियो रेनु दिदी र मिना दिदी लाई।🙏🇳🇵,mina kharel,yt:Mina Kharel,comment
Nice🎉🎉🎉🎉🎉🎉,mina kharel,yt:Mina Kharel,comment
Jaya Nepal,mina kharel,yt:Mina Kharel,comment
भुसको पहाड हो है राजेन्द्रजी।,mina kharel,yt:Mina Kharel,comment
Ramro manxe huda hudaini rabi pratiko purano ko badala vote ghanti ma ho,mina kharel,yt:Mina Kharel,comment
जीतको लागि अग्रिम शुभकामना ।,mina kharel,yt:Mina Kharel,comment
"राजेन्द्र बानियाँले अन्तर्वार्ता लिन कहिले सिक्ने हौ, के सारो बटारिएको !",mina kharel,yt:Mina Kharel,comment
जय नेपाल  दिदी जितकाे शुभकामना,mina kharel,yt:Mina Kharel,comment
अन्तरबार्ता  लिने दिने दुबैलाई हार्दिक नमनः ।  मिना खरेललाईअर्को पटक अवस्य संसदमा ल्याउनुपर्छ ।,mina kharel,yt:Mina Kharel,comment
Jay nepal,mina kharel,yt:Mina Kharel,comment
Best Of Luck DiDi.,mina kharel,yt:Mina Kharel,comment
"मीनाजी ! चितवनमा तपाईंले अद्भूत सेवा गर्नु भएको छ, तपाईं महान् हुनुहुन्छ । तपाईंको योगदान चितवनका सचेत नागरिकले पक्कै पनि बुझ्ने छन्। तपाईंलाई शुभकामना ।",mina kharel,yt:Mina Kharel,comment
Congratulation !!!,mina kharel,yt:Mina Kharel,comment
Wow ! Best wishes,mina kharel,yt:Mina Kharel,comment
राम्रो प्रस्तुति,mina kharel,yt:Mina Kharel,comment
पूरै कार्यक्रम हेरियो ।,mina kharel,yt:Mina Kharel,comment
"खातेकि दिदी कि सडक वालवालिका कि दिदी,शव्द फेरौँ।",mina kharel,yt:Mina Kharel,comment
Didi le jitnu bho bhane kati khusi hune the..chitwan ka janata plz choose wisely 🎉🎉🎉🎉❤❤❤❤,mina kharel,yt:Mina Kharel,comment
🎉🎉,mina kharel,yt:Mina Kharel,comment
शुभकामना दिदि🎉🎉🎉,mina kharel,yt:Mina Kharel,comment
She is the best candidate for better democracy,mina kharel,yt:Mina Kharel,comment
Best wishes Didi and Jay Nepal.,mina kharel,yt:Mina Kharel,comment
🌳🌳,mina kharel,yt:Mina Kharel,comment
दिदिले नि जितेन भने चितवने जन्तालाइ पापै लाग्छ!,mina kharel,yt:Mina Kharel,comment
"Best candidate, thug lai vote bata jawaf diyau",mina kharel,yt:Mina Kharel,comment
Perfect candidate for Chitwon 2 and she deserves to win this election.,mina kharel,yt:Mina Kharel,comment
