text,candidate,outlet,published,weight,script,channel
"Gagan Thapa Calls for Politics Beyond Power and Authority, Emphasizing Public Service",gagan thapa,Ratopati,2026-08-01 01:09:08+00:00,0.6231,latin,news
Gagan Thapa Directs Nepali Congress Leaders to Avoid Misinformation,gagan thapa,Ratopati,2026-07-31 02:21:37+00:00,0.5671,latin,news
Gagan Thapa Discusses Koshi and Madhesh Province Situation with Party Leaders,gagan thapa,Ratopati,2026-07-31 00:47:26+00:00,0.5635,latin,news
Gagan Thapa Holds Discussions with Central Officials and Local Bodies,gagan thapa,Hamro Patro,2026-07-31 00:13:20+00:00,0.4372,latin,news
"Gagan Thapa warns against rumors, revenge and violence",gagan thapa,Khabarhub,2026-07-30 19:02:56+00:00,0.428,latin,news
Gagan Thapa Calls for Peace and Harmony Amidst Sunsari Incident,gagan thapa,Ratopati,2026-07-28 23:09:35+00:00,0.4591,latin,news
Sunsari crisis: Gagan Thapa questions govt response,gagan thapa,Khabarhub,2026-07-28 22:20:25+00:00,0.3559,latin,news
Gagan Thapa Appeals for Calm After Police Shooting in Devangunj,gagan thapa,Ratopati,2026-07-28 10:43:06+00:00,0.4362,latin,news
Gagan Thapa urges restraint after Sunsari incident,gagan thapa,Khabarhub,2026-07-28 10:29:56+00:00,0.3389,latin,news
"Gagan Khoda Debut and last played matches in Tests, ODIs, T20Is and other formats",gagan thapa,Cricinfo,2026-07-25 10:30:11+00:00,0.2518,latin,news
Gagan Thapa in last-ditch effort to avert Nepali Congress rift,gagan thapa,Nepalnews.com,2026-07-24 01:15:00+00:00,0.2195,latin,news
Gagan Thapa Appoints Gopalman Shrestha Senior Leader,gagan thapa,Ratopati,2026-07-23 05:51:55+00:00,0.2606,latin,news
Gagan Thapa Launches New Campaign Program,gagan thapa,Ratopati,2026-07-23 03:01:06+00:00,0.2575,latin,news
Deuba faction files review at Supreme Court challenging recognition given to Gagan-led NC,gagan thapa,Nepalnews.com,2026-07-23 01:15:00+00:00,0.1988,latin,news
"Gagan Thapa launches ‘NC for National Cause’ campaign, slams PM Shah over constitutional interference",gagan thapa,Nepalnews.com,2026-07-23 01:15:00+00:00,0.1988,latin,news
Congress must move beyond election-focused politics: Gagan Thapa,gagan thapa,Ekantipur,2026-07-23 01:15:00+00:00,0.1988,latin,news
NC President Gagan Thapa calls for inclusive leadership within party,gagan thapa,Khabarhub,2026-07-23 01:15:00+00:00,0.1988,latin,news
Gagan Thapa Criticizes Government and Opposition Similarities,gagan thapa,Ratopati,2026-07-22 01:15:00+00:00,0.2316,latin,news
