text,candidate
"गोलि चल्यो, बालबालिकाहरुले ज्यान गुमाए, यो कुरा सत्य हो। तर, त्यो घटनाको योजनाकार‌, अर्थात् त्यो अवस्थाको सिर्जना गर्ने बालेन, दुर्गा प्रसाई, ज्ञानेन्द्र हुन्। यिनीहरुलाई उचाल्ने भारत हो। नेपालमा‌ माक्र्सवादीले राज गरेको भारतलाई मन पर्दैन। त्यसैले, जब जब केपि ओलि प्रम बन्छ, भारतले केहि न केहि खेल खेलि हाल्छ। <br>खेल खेल्ने भारतीय हुन् भने पैसामा बिग्ने, बालेन, दुर्गा, ज्ञानेन्द्र, लगायत केहि नेपालीहरु हुन्।",KP Oli
Yo narapisach le ma rajinama dinxu timi haru sinhadarbar jalaunu karyakarta khata ko ho yo chor bharsthachari lai jail kochnu parxa.,KP Oli
😂😂😂,KP Oli
सुइकारेको होइन आफुलाइ शुद्ध छु भनेर भनेको छ।,KP Oli
भाग्या त होनी के पी बा तिमी,KP Oli
Yo Gagan ko masterplan ho congress kabja garnu lai gen z lai wukasawni nai kangress nai ho,KP Oli
Ta vagera talai army le bachayo natra tero halat shere arju vanda ni khattam hunthyo tara aba tero ghamanda le sima nagyo  ra swam vagwan Balen KO rup ma tero ghamanda todna aaunu vo jay Budhasubba vagwan jai Pathivara Mata yo Oli ko ghamanda chaknachur pardinuhos Balen sir lai jitaidunuhos please god,KP Oli
Kp ko vani 😂😂😂😂😂,KP Oli
"बाउ बाजेको नाम , गाउ नभको मान्छे लाई जिताएसी एस्तै हो, लाज पनि लाग्दैन , जे गर्दे नि भयो, जे भन्दे नि भो ! कसै को डर नभको भगौडा चोर  !",KP Oli
a veda janata haru aana ta aankha kholera ysto hatyara harulai vote halera desh lai pachadi dhakalne kaam na garnu hola vote jashlai dinus tara hatyara ani desh drohi hatyra lai haina binti cha,KP Oli
Hutihara,KP Oli
Rip kp muji😡,KP Oli
Yo oli vanne jantu le garda makasam ragat tatera aoucha yeslai ta,KP Oli
केपी गुखानेलाई  यो चुनावले बडारेर  जेल कोचनु पर्छ,KP Oli
Hatyara brastchai Lai karbahi kahile huncha hola,KP Oli
KP daka hatiyara ho😮😮😊,KP Oli
"हत्यारा हो भन्ने थाहा छ त, निकम्मा सरकार जेल हाल्न सक्दैन।,",KP Oli
"Kasto prasna ho yo <br>Dhilaii vaye pani shradanjali dida pani kina birod vairako xa vanera <br>Is this a valid question 🤔 I was not accepting this from your channel <br>Qns should be <br>aafno galti ko jimmeywari naliney ,  yesto manxey lai chunab maa uthney mawka dinu parney ho r ?? Oli laii investigate garnu parney hoina ra",KP Oli
कारबाही किन नगरेको हाेला 😡,KP Oli
Nabhage helima kahagaeko,KP Oli
"देखेउ बालेन भन्या बालेन हो न्यालय लाई ख्याल सम्जिने ले बालेको जवाब दियो झुटै भय पनि ,, जेहोस पहिलो चोटि बा लाई धक्का लाग्यो",KP Oli
जम्मा २३ जना हो र जेन्जीहरू मरेका?,KP Oli
KP oli lai sabrajanik fasi dino hos,KP Oli
Harek sarkari Goli ko hisab dinu parne huncha. Mathi bata order na aaye Goli chaldaina. Sushila Karki sarkar le jyanmara lai jogaye.,KP Oli
अहंकारी खडक ओलि बल्ल गल्दैछन !,KP Oli
5/10 बर्ष पछि बन्ने देशको योजना को जस लिन हानथाप गर्ने किड्नि पन्चर बा कलिला जनता मर्दा 5 महिना लाग्यो त्यो पनि चुनाबको मुखमा कुर्सिको लोभले,KP Oli
Kp ba 🤛🤛,KP Oli
यो केपि मान्छे होइन अराजक फैलाउने देश कै लागि कुलङ्गर हो,KP Oli
तेसो भए तेस्तरी कोक्रो मा चढेर भागेको हो त,KP Oli
Kahile marxa kp oli😢😢😢 where are yumraaj😊,KP Oli
अरु केही हैन चुनाब आउँदैछ त्यही भएर भनेको यति कुरा पनि नत्र त जेन्जी भनेको त आतंककारी हो भन्छन्। एउटा उमेर समूह हो त्यो कुरा  भए ती उमेरसमुह सबै आतंककारी ।,KP Oli
mass manipulation! wake up ppl!,KP Oli
Jaymara nalayak pasu ko pani dimag huncha Yesko bhandha 😡,KP Oli
😂😂,KP Oli
कहाँ भागेको हुनु नि हेलिकप्टरमा झुन्डिएर हिडेको हो नि,KP Oli
Pahile nai rajinama kina na Deko ta natak chunaav aayo haena ava,KP Oli
